"NAME","mean_outcome","mean_urban","mean_wealth","n_clusters","total_women","country_code","country_name","year","total_exports","ln_total_exports"
"ADARAWA",0.512820512820513,0,1.33333333333333,1,39,566,"Nigeria",2008,0,0
"AFO",0.0408163265306122,0,3.46938775510204,1,49,566,"Nigeria",2008,0,0
"ANGAS",0.511194029850746,0.119402985074627,1.8544776119403,13,536,566,"Nigeria",2008,0,0
"ARAGO",0.152380952380952,0.219047619047619,3.67619047619048,4,105,566,"Nigeria",2008,0,0
"AUYOKAWA",0.50328227571116,0.0853391684901532,1.7308533916849,11,457,566,"Nigeria",2008,0,0
"BACHAMA",0.162790697674419,0,1.88372093023256,1,43,566,"Nigeria",2008,0,0
"BARGU",0.361111111111111,0,2.91666666666667,2,72,566,"Nigeria",2008,21708,9.98548220008876
"BASA",0.239130434782609,0.445652173913043,2.60869565217391,2,92,566,"Nigeria",2008,773,6.65157187358973
"BATA",0.441176470588235,0,1.69607843137255,2,102,566,"Nigeria",2008,0,0
"BAUCHI",0.68695652173913,0,1.4,3,115,566,"Nigeria",2008,0,0
"BEDE",0.177570093457944,0.228971962616822,2.57476635514019,5,214,566,"Nigeria",2008,108,4.69134788222914
"BERIBERI",0.447058823529412,0,1.08235294117647,2,85,566,"Nigeria",2008,0,0
"BIROM",0.523809523809524,0.523809523809524,2.74074074074074,4,189,566,"Nigeria",2008,36,3.61091791264422
"BOKI",0.540540540540541,0,2.7027027027027,2,74,566,"Nigeria",2008,36,3.61091791264422
"BOLEWA",0.469750889679715,0.231316725978648,1.97864768683274,6,281,566,"Nigeria",2008,90,4.51085950651685
"BUNU",0.360655737704918,0.169398907103825,3.46994535519126,6,183,566,"Nigeria",2008,2164,7.68017564043659
"BURA",0.8,0,1.78461538461538,1,65,566,"Nigeria",2008,0,0
"BUSA",0.64367816091954,0.252873563218391,2.37931034482759,4,174,566,"Nigeria",2008,18,2.94443897916644
"BUTAWA",0.723684210526316,0,1.11842105263158,2,76,566,"Nigeria",2008,0,0
"CHAMBA",0.606481481481482,0.199074074074074,1.91666666666667,4,216,566,"Nigeria",2008,11718,9.3689667352586
"EDO",0.161476355247982,0.542099192618224,4.04959630911188,24,867,566,"Nigeria",2008,12697,9.4491997797304
"EGBA",0.278704612365064,0.657507360157017,4.28949950932287,30,1019,566,"Nigeria",2008,47,3.87120101090789
"EGEDE",0.451327433628319,0.300884955752212,3.12389380530973,3,113,566,"Nigeria",2008,0,0
"EKITI",0.253638253638254,0.473319473319473,3.53153153153153,44,1443,566,"Nigeria",2008,0,0
"EKOI",0.297297297297297,0,2.62162162162162,1,37,566,"Nigeria",2008,1492,7.30854279753919
"GBARI",0.2480181200453,0.602491506228766,3.6885617214043,25,883,566,"Nigeria",2008,1395,7.24136628332232
"GERAWA",0.244274809160305,0.389312977099237,2.21374045801527,3,131,566,"Nigeria",2008,0,0
"GILI",0.21978021978022,0.538461538461538,2.92307692307692,2,91,566,"Nigeria",2008,0,0
"GUDE",0.0454545454545454,0.511363636363636,3.31818181818182,2,88,566,"Nigeria",2008,12613,9.4425625872236
"GUN",0.175675675675676,0,4.5,2,74,566,"Nigeria",2008,69734,11.1524576227928
"GWANDARA",0.150912106135987,0.613598673300166,3.87893864013267,16,603,566,"Nigeria",2008,0,0
"HAUSA",0.3284870513403,0.192412539754657,2.26533393911858,105,4402,566,"Nigeria",2008,130548,11.7795039141975
"IBIBIO",0.420994475138121,0.206629834254144,3.47403314917127,27,905,566,"Nigeria",2008,48808,10.7956700010663
"IBO",0.411325611325611,0.361647361647362,3.64890604890605,124,3885,566,"Nigeria",2008,401162,12.9021231074871
"IDOMA",0.527397260273973,0,2.51369863013699,3,146,566,"Nigeria",2008,0,0
"IFE",0.191428571428571,0.511428571428571,3.63428571428571,10,350,566,"Nigeria",2008,36,3.61091791264422
"IGALA",0.481395348837209,0.293023255813953,3.11860465116279,13,430,566,"Nigeria",2008,0,0
"IGBIRA",0.103030303030303,0.721212121212121,4.23030303030303,4,165,566,"Nigeria",2008,631,6.44888939414686
"IJAW",0.485530546623794,0.295819935691318,3.37942122186495,34,1244,566,"Nigeria",2008,27438,10.2197206380271
"IJEBU",0.265228426395939,0.782994923857868,4.40228426395939,23,788,566,"Nigeria",2008,0,0
"ISOKO",0.416909620991254,0.303206997084548,3.65014577259475,12,343,566,"Nigeria",2008,345,5.84643877505772
"ITSEKIRI",0.284615384615385,0.507692307692308,4.16923076923077,4,130,566,"Nigeria",2008,0,0
"IYALA",0.460431654676259,0,2.30935251798561,4,139,566,"Nigeria",2008,18,2.94443897916644
"JARAWA",0.251851851851852,0.303703703703704,2.0962962962963,3,135,566,"Nigeria",2008,18,2.94443897916644
