"NAME","mean_outcome","mean_urban","mean_wealth","n_clusters","total_women","country_code","country_name","year","total_exports","ln_total_exports"
"ADARAWA",0.666666666666667,0,1.33333333333333,1,39,566,"Nigeria",2008,0,0
"AFO",0.387755102040816,0,3.46938775510204,1,49,566,"Nigeria",2008,0,0
"ANGAS",0.73320895522388,0.119402985074627,1.8544776119403,13,536,566,"Nigeria",2008,0,0
"ARAGO",0.533333333333333,0.219047619047619,3.67619047619048,4,105,566,"Nigeria",2008,0,0
"AUYOKAWA",0.684901531728665,0.0853391684901532,1.7308533916849,11,457,566,"Nigeria",2008,0,0
"BACHAMA",0.697674418604651,0,1.88372093023256,1,43,566,"Nigeria",2008,0,0
"BARGU",0.652777777777777,0,2.91666666666667,2,72,566,"Nigeria",2008,21708,9.98548220008876
"BASA",0.489130434782609,0.445652173913043,2.60869565217391,2,92,566,"Nigeria",2008,773,6.65157187358973
"BATA",0.784313725490196,0,1.69607843137255,2,102,566,"Nigeria",2008,0,0
"BAUCHI",0.669565217391304,0,1.4,3,115,566,"Nigeria",2008,0,0
"BEDE",0.285046728971963,0.228971962616822,2.57476635514019,5,214,566,"Nigeria",2008,108,4.69134788222914
"BERIBERI",0.282352941176471,0,1.08235294117647,2,85,566,"Nigeria",2008,0,0
"BIROM",0.841269841269841,0.523809523809524,2.74074074074074,4,189,566,"Nigeria",2008,36,3.61091791264422
"BOKI",0.567567567567568,0,2.7027027027027,2,74,566,"Nigeria",2008,36,3.61091791264422
"BOLEWA",0.459074733096085,0.231316725978648,1.97864768683274,6,281,566,"Nigeria",2008,90,4.51085950651685
"BUNU",0.590163934426229,0.169398907103825,3.46994535519126,6,183,566,"Nigeria",2008,2164,7.68017564043659
"BURA",0.846153846153846,0,1.78461538461538,1,65,566,"Nigeria",2008,0,0
"BUSA",0.689655172413793,0.252873563218391,2.37931034482759,4,174,566,"Nigeria",2008,18,2.94443897916644
"BUTAWA",0.789473684210526,0,1.11842105263158,2,76,566,"Nigeria",2008,0,0
"CHAMBA",0.734883720930233,0.2,1.92093023255814,4,215,566,"Nigeria",2008,11718,9.3689667352586
"EDO",0.32566168009206,0.543153049482163,4.05063291139241,24,869,566,"Nigeria",2008,12697,9.4491997797304
"EGBA",0.482859941234084,0.658178256611165,4.28991185112635,30,1021,566,"Nigeria",2008,47,3.87120101090789
"EGEDE",0.584070796460177,0.300884955752212,3.12389380530973,3,113,566,"Nigeria",2008,0,0
"EKITI",0.337725381414702,0.472954230235784,3.53120665742025,44,1442,566,"Nigeria",2008,0,0
"EKOI",0.45945945945946,0,2.62162162162162,1,37,566,"Nigeria",2008,1492,7.30854279753919
"GBARI",0.510710259301015,0.602029312288613,3.69222096956032,25,887,566,"Nigeria",2008,1395,7.24136628332232
"GERAWA",0.423076923076923,0.392307692307692,2.22307692307692,3,130,566,"Nigeria",2008,0,0
"GILI",0.494505494505495,0.538461538461538,2.92307692307692,2,91,566,"Nigeria",2008,0,0
"GUDE",0.494252873563218,0.517241379310345,3.31034482758621,2,87,566,"Nigeria",2008,12613,9.4425625872236
"GUN",0.554054054054054,0,4.5,2,74,566,"Nigeria",2008,69734,11.1524576227928
"GWANDARA",0.445364238410596,0.612582781456954,3.87748344370861,16,604,566,"Nigeria",2008,0,0
"HAUSA",0.556488203266788,0.192377495462795,2.26542649727768,105,4408,566,"Nigeria",2008,130548,11.7795039141975
"IBIBIO",0.632044198895028,0.206629834254144,3.47403314917127,27,905,566,"Nigeria",2008,48808,10.7956700010663
"IBO",0.632039084597583,0.361789663152481,3.64952429930573,124,3889,566,"Nigeria",2008,401162,12.9021231074871
"IDOMA",0.849315068493151,0,2.51369863013699,3,146,566,"Nigeria",2008,0,0
"IFE",0.342857142857143,0.511428571428571,3.63428571428571,10,350,566,"Nigeria",2008,36,3.61091791264422
"IGALA",0.712296983758701,0.292343387470998,3.11832946635731,13,431,566,"Nigeria",2008,0,0
"IGBIRA",0.295180722891566,0.72289156626506,4.23493975903614,4,166,566,"Nigeria",2008,631,6.44888939414686
"IJAW",0.636363636363636,0.296057924376508,3.37892196299276,34,1243,566,"Nigeria",2008,27438,10.2197206380271
"IJEBU",0.458703939008895,0.783989834815756,4.40406607369759,23,787,566,"Nigeria",2008,0,0
"ISOKO",0.56268221574344,0.303206997084548,3.65014577259475,12,343,566,"Nigeria",2008,345,5.84643877505772
