"NAME","mean_outcome","mean_urban","mean_wealth","n_clusters","total_women","country_code","country_name","year","total_exports","ln_total_exports"
"ADARAWA",0.512820512820513,0,1.33333333333333,1,39,566,"Nigeria",2008,0,0
"AFO",0.0612244897959184,0,3.46938775510204,1,49,566,"Nigeria",2008,0,0
"ANGAS",0.552238805970149,0.119402985074627,1.8544776119403,13,536,566,"Nigeria",2008,0,0
"ARAGO",0.0476190476190476,0.219047619047619,3.67619047619048,4,105,566,"Nigeria",2008,0,0
"AUYOKAWA",0.505494505494505,0.0835164835164835,1.72967032967033,11,455,566,"Nigeria",2008,0,0
"BACHAMA",0.697674418604651,0,1.88372093023256,1,43,566,"Nigeria",2008,0,0
"BARGU",0.154929577464789,0,2.90140845070422,2,71,566,"Nigeria",2008,21708,9.98548220008876
"BASA",0.521739130434783,0.445652173913043,2.60869565217391,2,92,566,"Nigeria",2008,773,6.65157187358973
"BATA",0.598039215686275,0,1.69607843137255,2,102,566,"Nigeria",2008,0,0
"BAUCHI",0.614035087719298,0,1.40350877192982,3,114,566,"Nigeria",2008,0,0
"BEDE",0.177570093457944,0.228971962616822,2.57476635514019,5,214,566,"Nigeria",2008,108,4.69134788222914
"BERIBERI",0.0235294117647059,0,1.08235294117647,2,85,566,"Nigeria",2008,0,0
"BIROM",0.624338624338624,0.523809523809524,2.74074074074074,4,189,566,"Nigeria",2008,36,3.61091791264422
"BOKI",0.121621621621622,0,2.7027027027027,2,74,566,"Nigeria",2008,36,3.61091791264422
"BOLEWA",0.512455516014235,0.231316725978648,1.97864768683274,6,281,566,"Nigeria",2008,90,4.51085950651685
"BUNU",0.316939890710382,0.169398907103825,3.46994535519126,6,183,566,"Nigeria",2008,2164,7.68017564043659
"BURA",0.507692307692308,0,1.78461538461538,1,65,566,"Nigeria",2008,0,0
"BUSA",0.706896551724138,0.252873563218391,2.37931034482759,4,174,566,"Nigeria",2008,18,2.94443897916644
"BUTAWA",0.828947368421053,0,1.11842105263158,2,76,566,"Nigeria",2008,0,0
"CHAMBA",0.577464788732394,0.2018779342723,1.92488262910798,4,213,566,"Nigeria",2008,11718,9.3689667352586
"EDO",0.349827387802071,0.543153049482163,4.05063291139241,24,869,566,"Nigeria",2008,12697,9.4491997797304
"EGBA",0.234774066797642,0.660117878192534,4.29567779960707,30,1018,566,"Nigeria",2008,47,3.87120101090789
"EGEDE",0.133928571428572,0.303571428571429,3.125,3,112,566,"Nigeria",2008,0,0
"EKITI",0.228690228690229,0.473319473319473,3.53153153153153,44,1443,566,"Nigeria",2008,0,0
"EKOI",0.108108108108108,0,2.62162162162162,1,37,566,"Nigeria",2008,1492,7.30854279753919
"GBARI",0.263337116912599,0.603859250851305,3.69353007945516,25,881,566,"Nigeria",2008,1395,7.24136628332232
"GERAWA",0.564885496183206,0.389312977099237,2.21374045801527,3,131,566,"Nigeria",2008,0,0
"GILI",0,0.544444444444444,2.93333333333333,2,90,566,"Nigeria",2008,0,0
"GUDE",0.363636363636364,0.511363636363636,3.31818181818182,2,88,566,"Nigeria",2008,12613,9.4425625872236
"GUN",0.297297297297297,0,4.5,2,74,566,"Nigeria",2008,69734,11.1524576227928
"GWANDARA",0.0762852404643449,0.611940298507463,3.87728026533997,16,603,566,"Nigeria",2008,0,0
"HAUSA",0.544547721605078,0.19406030378599,2.26864656540467,105,4411,566,"Nigeria",2008,130548,11.7795039141975
"IBIBIO",0.366150442477876,0.206858407079646,3.47455752212389,27,904,566,"Nigeria",2008,48808,10.7956700010663
"IBO",0.404118404118404,0.362162162162162,3.64993564993565,124,3885,566,"Nigeria",2008,401162,12.9021231074871
"IDOMA",0.287671232876712,0,2.51369863013699,3,146,566,"Nigeria",2008,0,0
"IFE",0.165714285714286,0.511428571428571,3.63428571428571,10,350,566,"Nigeria",2008,36,3.61091791264422
"IGALA",0.510440835266821,0.292343387470998,3.11832946635731,13,431,566,"Nigeria",2008,0,0
"IGBIRA",0.210843373493976,0.72289156626506,4.23493975903614,4,166,566,"Nigeria",2008,631,6.44888939414686
"IJAW",0.631832797427653,0.295819935691318,3.37942122186495,34,1244,566,"Nigeria",2008,27438,10.2197206380271
"IJEBU",0.279542566709022,0.783989834815756,4.40406607369759,23,787,566,"Nigeria",2008,0,0
"ISOKO",0.530612244897959,0.303206997084548,3.65014577259475,12,343,566,"Nigeria",2008,345,5.84643877505772
"ITSEKIRI",0.584615384615385,0.507692307692308,4.16923076923077,4,130,566,"Nigeria",2008,0,0
"IYALA",0.20863309352518,0,2.30935251798561,4,139,566,"Nigeria",2008,18,2.94443897916644
"JARAWA",0.755555555555555,0.303703703703704,2.0962962962963,3,135,566,"Nigeria",2008,18,2.94443897916644
"JEN",0.647058823529412,1,1.96078431372549,1,51,566,"Nigeria",2008,72,4.29045944114839
"JERAWA, CHAWAI (SW)",0.604938271604938,0.51440329218107,2.65432098765432,6,243,566,"Nigeria",2008,196,5.28320372873799
"JIBU",0.711538461538462,0,2.25,1,52,566,"Nigeria",2008,0,0
"JUKUN",0.602027883396705,0.371356147021546,2.30164765525982,16,789,566,"Nigeria",2008,162,5.09375020080676
"KADARA",0.578947368421052,0,2.60526315789474,1,38,566,"Nigeria",2008,196,5.28320372873799
"KAM",0.790322580645161,0,2.12903225806452,1,62,566,"Nigeria",2008,0,0
"KAMBERI",0.747474747474747,0.247474747474747,2.30808080808081,5,198,566,"Nigeria",2008,270,5.6021188208797
"KAMUKU",0.692857142857143,0,1.93571428571428,3,140,566,"Nigeria",2008,18,2.94443897916644
"KANURI",0.598513011152416,0.499380421313507,2.30483271375465,20,807,566,"Nigeria",2008,2195,7.69439280262942
"KAPSIKI",0.901785714285715,0,1.97321428571429,2,112,566,"Nigeria",2008,0,0
"KAREKARE",0.111675126903553,0.203045685279188,1.97969543147208,4,197,566,"Nigeria",2008,36,3.61091791264422
"KATAB",0.585987261146496,0,3.36942675159235,3,157,566,"Nigeria",2008,286,5.65948221575962
"KORO",0.0842105263157895,0,4.76842105263158,2,95,566,"Nigeria",2008,72,4.29045944114839
"KOYAM",0.592592592592593,0,1.22222222222222,1,27,566,"Nigeria",2008,0,0
"KUKURUKU",0.355311355311355,0.315018315018315,3.73626373626374,7,273,566,"Nigeria",2008,541,6.29526600143965
"LONGUDA",0.701612903225806,0,1.7258064516129,3,124,566,"Nigeria",2008,0,0
"MADA",0.26625386996904,0,2.27554179566563,7,323,566,"Nigeria",2008,0,0
"MAGUZAWA",0.675425038639877,0.171561051004637,1.86707882534776,16,647,566,"Nigeria",2008,0,0
"MAMA",0.533333333333333,0,2.28,2,75,566,"Nigeria",2008,0,0
"MAMBILA",0.72,0,1.34,1,50,566,"Nigeria",2008,112,4.72738781871234
"MANDARA",0.575,0,1.15,1,40,566,"Nigeria",2008,0,0
"MANGA",0.448275862068966,0.195402298850575,1.22988505747126,5,174,566,"Nigeria",2008,74,4.31748811353631
"MARGI",0.63265306122449,0,1.38775510204082,1,49,566,"Nigeria",2008,0,0
"MATAKAM",0.617021276595745,0,2.80851063829787,1,47,566,"Nigeria",2008,0,0
"MBEMBE",0.6875,0,2.52083333333334,1,48,566,"Nigeria",2008,18037,9.80023592272565
"MUMUYE",0.705479452054795,0,1.36301369863014,3,146,566,"Nigeria",2008,606,6.4085287910595
"NGE",0.398230088495575,0,2.9646017699115,3,113,566,"Nigeria",2008,0,0
"NGIZIM",0.433734939759036,0.253012048192771,1.63855421686747,4,166,566,"Nigeria",2008,36,3.61091791264422
"NUPE",0.652567975830816,0.108761329305136,2.99093655589124,8,331,566,"Nigeria",2008,58551,10.9776705272811
"ORRI",0.716216216216216,0.418918918918919,1.88513513513514,3,148,566,"Nigeria",2008,0,0
"RESHE",0.510204081632653,0,2.53061224489796,1,49,566,"Nigeria",2008,0,0
"SHUWA",0.787878787878788,0,1,1,33,566,"Nigeria",2008,0,0
"SOKOTO",0.604426002766252,0.195020746887967,2.19640387275242,18,723,566,"Nigeria",2008,0,0
"TANGALE",0.530054644808743,0.112021857923497,1.97540983606557,9,366,566,"Nigeria",2008,0,0
"TERA",0.542307692307692,0.169230769230769,2.16538461538462,6,260,566,"Nigeria",2008,0,0
"TIENGA",0.595238095238095,0,1.30952380952381,1,42,566,"Nigeria",2008,0,0
"TIGON",0.708333333333333,0,1.45833333333333,1,48,566,"Nigeria",2008,0,0
"TIV",0.234195402298851,0.245689655172414,2.31609195402299,19,696,566,"Nigeria",2008,361,5.89164421182577
"VERE",0.485074626865672,0.246268656716418,2.38805970149254,4,134,566,"Nigeria",2008,0,0
"WAKURA",0.5625,0,1.21875,1,32,566,"Nigeria",2008,0,0
"WARJAWA",0.625,0,1.53804347826087,4,184,566,"Nigeria",2008,0,0
"WURKUM",0.6,0,1.08,1,50,566,"Nigeria",2008,0,0
"YAKO",0.134969325153374,0,2.77914110429448,5,163,566,"Nigeria",2008,126,4.84418708645859
"YERGUM",0.635071090047393,0.194312796208531,2.52132701421801,4,211,566,"Nigeria",2008,0,0
"YESKWA",0.158974358974359,0,2.48205128205128,4,195,566,"Nigeria",2008,90,4.51085950651685
"YORUBA",0.116302186878728,0.512922465208748,3.60735586481113,61,2012,566,"Nigeria",2008,665966,13.4089953987454
"YUNGUR",0.444444444444444,1,3.80555555555555,1,36,566,"Nigeria",2008,0,0
"ZUANDE, BATU (E)",0.782608695652174,0,2.71014492753624,1,69,566,"Nigeria",2008,0,0
"ZUMPER",0.738938053097345,0,2.17699115044248,5,226,566,"Nigeria",2008,126,4.84418708645859
"AUSHI",0.405325443786982,0.568047337278107,3.34023668639053,29,676,894,"Zambia",2013,0,0
"BEMBA",0.416957026713124,0.511033681765389,3.19047619047619,39,861,894,"Zambia",2013,3045,8.02158453345511
"BISA",0.377622377622378,0.734265734265734,3.47552447552448,6,143,894,"Zambia",2013,12743,9.45281585158988
"CHEWA",0.404624277456647,0.670520231213873,3.35838150289017,8,173,894,"Zambia",2013,9129,9.11932097358901
"ILA",0.462093862815884,0.530685920577617,3.1841155234657,12,277,894,"Zambia",2013,0,0
"IWA",0.387453874538745,0.265682656826568,2.69741697416974,11,271,894,"Zambia",2013,0,0
"KAONDE",0.468916518650089,0.47246891651865,3.11190053285968,25,563,894,"Zambia",2013,2814,7.94271754057379
"KUNDA",0.424028268551237,0.547703180212014,3.51943462897527,13,283,894,"Zambia",2013,0,0
"LALA",0.321917808219178,0.150684931506849,2.83561643835616,6,146,894,"Zambia",2013,1490,7.30720231476474
"LAMBA",0.406230133502861,0.466624284806103,3.15766052129689,71,1573,894,"Zambia",2013,563,6.33505425149806
"LAMBYA",0.5,0.583333333333333,2.63888888888889,2,36,894,"Zambia",2013,0,0
"LENJE",0.392676056338028,0.48169014084507,3.1087323943662,79,1775,894,"Zambia",2013,0,0
"LOZI",0.39291217257319,0.278890600924499,2.74114021571649,30,649,894,"Zambia",2013,0,0
"LUAPULA",0.428184281842818,0.555555555555556,3.18428184281843,16,369,894,"Zambia",2013,0,0
"LUKOKWE",0.197530864197531,0.580246913580247,2.7037037037037,4,81,894,"Zambia",2013,0,0
"LUNGU",0.496323529411765,0.544117647058823,3.13970588235294,12,272,894,"Zambia",2013,0,0
"LUVALE",0.182926829268293,0.219512195121951,2.74390243902439,4,82,894,"Zambia",2013,1376,7.22766249872865
"MASHASHA",0.191489361702128,1,4.25531914893617,2,47,894,"Zambia",2013,0,0
"MASHI",0.338709677419355,0.403225806451613,2.56451612903226,5,124,894,"Zambia",2013,0,0
"MBUNDA",0.2,1,4.74285714285714,1,35,894,"Zambia",2013,0,0
"MOMBERA",0.258064516129032,0.25,2.26612903225806,6,124,894,"Zambia",2013,0,0
"MPEZENI",0.362101313320826,0.446529080675422,3.27579737335835,21,533,894,"Zambia",2013,0,0
"NDEMBU",0.427272727272727,0.654545454545455,3.25,11,220,894,"Zambia",2013,393,5.97635090929793
"NKOYA",0.519685039370079,0,2.32283464566929,6,127,894,"Zambia",2013,0,0
"NSENGA",0.314606741573034,0.662921348314607,3.44943820224719,12,267,894,"Zambia",2013,86,4.46590811865458
"SENGA",0.385185185185185,0.17037037037037,2.85185185185185,6,135,894,"Zambia",2013,2872,7.96311205897929
"SHILA",0.7,0,1.82,2,50,894,"Zambia",2013,0,0
"SUBIA",0.361313868613139,0.397810218978102,3.30656934306569,12,274,894,"Zambia",2013,0,0
"TABWA",0.344202898550725,0.467391304347826,3.1231884057971,13,276,894,"Zambia",2013,0,0
"TONGA",0.384615384615385,0.605128205128205,3.24188034188034,48,1170,894,"Zambia",2013,261,5.5683445037611
"TOTELA",0.432098765432099,0.45679012345679,3.46913580246914,3,81,894,"Zambia",2013,0,0
"TUMBUKA",0.544444444444444,0.522222222222222,3.05555555555555,4,90,894,"Zambia",2013,12271,9.41507552360704
"UNGA",0.5,0.521276595744681,2.85106382978723,4,94,894,"Zambia",2013,0,0
"GANDA",0.422458062307429,0.218760698390962,3.34029441971927,130,2921,800,"Uganda",2006,4356,8.37953902611744
"GISU",0.664495114006515,0,2.92508143322476,13,307,800,"Uganda",2006,0,0
"LANGO",0.304347826086957,0,1.76086956521739,2,46,800,"Uganda",2006,0,0
"NYORO",0.619047619047619,0,3.28571428571428,1,21,800,"Uganda",2006,0,0
"SABEI",0.535714285714285,0,2.82142857142857,1,28,800,"Uganda",2006,0,0
"SOGA",0.43609022556391,0.0171858216970999,2.33834586466165,40,931,800,"Uganda",2006,174,5.16478597392351
"TESO",0.489583333333333,0,1.63541666666667,4,96,800,"Uganda",2006,0,0
"WANGA",0.54320987654321,0,3.2962962962963,3,81,800,"Uganda",2006,847,6.7428806357919
