"NAME","mean_outcome","mean_urban","mean_wealth","n_clusters","total_women","country_code","country_name","year","total_exports","ln_total_exports"
"BORAN",0.0396039603960396,0.326732673267327,2.25742574257426,14,101,404,"Kenya",2014,52,3.97029191355212
"CHAGA",0.146341463414634,0.585365853658537,3.63414634146341,6,41,404,"Kenya",2014,174,5.16478597392351
"DIGO",0,0,1.375,1,8,404,"Kenya",2014,8700,9.07119324056602
"DOROBO",0.141104294478528,0.374233128834356,3.12269938650307,20,163,404,"Kenya",2014,0,0
"DURUMA",0.148148148148148,0.259259259259259,1.51851851851852,4,27,404,"Kenya",2014,1132,7.03262426102801
"GUSII",0.148318042813456,0.365443425076453,2.80886850152905,79,654,404,"Kenya",2014,0,0
"GYRIAMA",0,0,1.85714285714286,1,7,404,"Kenya",2014,0,0
"KAMBA",0.143808255659121,0.323568575233023,2.89613848202397,88,751,404,"Kenya",2014,2640,7.87891291229713
"KEYU",0.0817610062893082,0.29559748427673,2.69182389937107,20,159,404,"Kenya",2014,0,0
"KIKUYU",0.265581134194273,0.570466030320045,4.06681639528355,225,1781,404,"Kenya",2014,174,5.16478597392351
"KIPSIGI",0.157360406091371,0.357021996615905,2.85786802030457,76,591,404,"Kenya",2014,0,0
"LUO",0.157756354075372,0.301489921121823,2.92287467134093,143,1141,404,"Kenya",2014,435,6.07764224334903
"MASAI",0.15929203539823,0.353982300884956,2.99336283185841,60,452,404,"Kenya",2014,1132,7.03262426102801
"MERU",0.177981651376147,0.247706422018349,3.07889908256881,68,545,404,"Kenya",2014,86,4.46590811865458
"NANDI",0.173976608187135,0.445906432748538,3.48976608187135,78,684,404,"Kenya",2014,0,0
"POKOMO",0.0333333333333333,0.566666666666667,2.2,12,90,404,"Kenya",2014,86,4.46590811865458
"SABEI",0.037037037037037,0,2.51851851851852,4,27,404,"Kenya",2014,0,0
"SAMBURU",0.195583596214511,0.463722397476341,3.31545741324921,82,634,404,"Kenya",2014,0,0
"SANYE",0,0,1.12,3,25,404,"Kenya",2014,0,0
"SEGEJU",0.104166666666667,0.535984848484849,3.40151515151515,74,528,404,"Kenya",2014,697,6.54821910276237
"SUK",0.107981220657277,0.248826291079812,2.82629107981221,26,213,404,"Kenya",2014,0,0
"TEITA",0.152439024390244,0.292682926829268,3.52439024390244,22,164,404,"Kenya",2014,348,5.85507192220243
"TURKANA",0,1,4.16666666666667,2,12,404,"Kenya",2014,0,0
"WANGA",0.127659574468085,0.264990328820116,2.95164410058027,63,517,404,"Kenya",2014,847,6.7428806357919
"AMBO",0.093956043956044,0.178571428571429,2.52637362637363,72,1820,516,"Namibia",2000,388,5.96357934361845
"BERGDAMA",0.397727272727273,0.920454545454545,4.52272727272727,5,176,516,"Namibia",2000,0,0
"HEIKUM",0.271880819366853,0.646182495344507,3.56238361266294,20,537,516,"Namibia",2000,0,0
"HERERO",0.322420634920635,0.729166666666667,4.00545634920635,69,2016,516,"Namibia",2000,0,0
"KOBA",0.0408163265306122,0,1.48979591836735,3,49,516,"Namibia",2000,0,0
"KUNG",0.114503816793893,0,2.98473282442748,4,131,516,"Namibia",2000,0,0
"KWANGARE",0.0408163265306122,0.306122448979592,2.48724489795918,15,392,516,"Namibia",2000,0,0
"MBUKUSHU",0.0227272727272727,0,1.59090909090909,4,88,516,"Namibia",2000,0,0
"NAMA",0.337092731829574,0.521303258145363,4.27067669172932,32,798,516,"Namibia",2000,0,0
"NAMIB",0.415584415584415,1,4.48051948051948,3,77,516,"Namibia",2000,0,0
"NARON",0.0851063829787234,0,3.19148936170213,2,47,516,"Namibia",2000,0,0
"NUKWE",0.027027027027027,0,1.18918918918919,3,37,516,"Namibia",2000,0,0
"NUSAN",0.241525423728813,0.173728813559322,3.72881355932203,9,236,516,"Namibia",2000,0,0
"SUBIA",0.0869565217391304,0.373913043478261,2.2695652173913,14,230,516,"Namibia",2000,0,0
"HIECHWARE",0.181818181818182,0.575757575757576,3.39393939393939,2,33,716,"Zimbabwe",2015,0,0
"HLENGWE",0.16025641025641,0.461538461538462,3.21153846153846,8,156,716,"Zimbabwe",2015,0,0
"KARANGA",0.189861751152074,0.482027649769585,3.68018433179724,55,1085,716,"Zimbabwe",2015,553,6.31716468674728
"KOREKORE",0.171186440677966,0.574576271186441,3.69491525423729,29,590,716,"Zimbabwe",2015,0,0
"MANYIKA",0.171079429735234,0.541751527494908,3.56211812627291,24,491,716,"Zimbabwe",2015,871,6.77078942390898
"NDAU",0.180094786729858,0.303317535545024,3.18009478672986,11,211,716,"Zimbabwe",2015,261,5.5683445037611
"NDEBELE",0.153930131004367,0.508733624454148,3.48635371179039,93,1832,716,"Zimbabwe",2015,0,0
"SUBIA",0.0869565217391305,0,2.60869565217391,3,46,716,"Zimbabwe",2015,0,0
"TAWARA",0.193954659949622,0.571788413098237,3.79093198992443,21,397,716,"Zimbabwe",2015,0,0
"TLOKWA",0.32,1,4.6,1,25,716,"Zimbabwe",2015,0,0
"TONGA",0.12962962962963,0.694444444444444,4.01851851851852,5,108,716,"Zimbabwe",2015,261,5.5683445037611
"VENDA",0.116666666666667,0,2.2,4,60,716,"Zimbabwe",2015,0,0
"ZEZURU",0.169921875,0.49453125,3.5515625,128,2560,716,"Zimbabwe",2015,0,0
